iter	RMSE
984	0.258163685
985	0.2581038782
986	0.2580752468
987	0.258031943
988	0.2579735645
989	0.2579534651
990	0.257933871
991	0.2579267662
992	0.2579038733
993	0.2578208544
994	0.2577673896
995	0.2577045742
996	0.257643577
997	0.2575968142
998	0.257540787
999	0.2575256174
